id,Latitude,Longitude
0,-5.264639,43.309981
1,0.868238,42.006201
2,-6.643802,39.153979
3,-5.537012,37.396385
4,-2.283102,42.057542
5,-6.071032,39.930242
6,-3.394564,37.864684
7,-7.584436,43.404614
8,-5.889492,43.409102
9,-8.000415,42.671406
10,-6.152614,36.555212
11,-2.685206,38.119569
12,-3.744073,37.818762
13,-8.788568,42.320252
14,-1.283622,41.135981
15,-6.829430,39.565392
16,-7.419377,37.308303
17,-0.265536,39.895393
18,0.141809,40.244337
19,-2.459285,42.939247
20,-6.136441,39.837915
21,-1.304204,39.109714
22,-6.989249,37.393182
23,-4.161538,38.123999
24,-1.831037,42.527029
25,-5.821749,37.534111
26,0.292114,40.383341
27,-2.790286,41.366165
28,-7.287515,43.553107
29,-2.093228,39.111303
30,-5.129804,37.760483
31,0.004088,40.259956
32,-3.443024,42.365926
33,-4.120656,42.599968
34,-1.185773,37.585745
35,-0.896219,42.235117
36,-6.145576,39.286683
37,-1.205962,37.711966
38,-6.360721,37.656296
39,-4.757389,42.251057
40,-6.314092,40.348150
41,-1.728118,37.906000
42,-1.161023,40.641584
43,-5.017133,42.045277
44,-3.253571,42.098076
45,-5.814113,37.427268
46,-1.511749,41.190168
47,1.921847,41.367805
48,-7.861912,42.282126
49,-4.779817,40.408490
50,-6.051540,42.414954
51,-3.104739,41.161701
52,-3.385039,42.716218
53,-7.069750,39.370615
54,0.938407,41.789490
55,-3.877220,41.915952
56,-5.193273,40.724999
57,-11.165744,34.863944
58,-1.741214,39.883635
59,-6.096777,36.914576
60,-0.688217,39.986056
61,-5.475002,40.971596
62,-7.295211,37.474331
63,-6.783210,42.165573
64,-4.840070,42.815182
65,-2.486112,42.761797
66,-8.223151,42.480490
67,-4.107771,42.920904
68,1.260032,41.486078
69,-0.403936,42.474877
70,-12.780901,34.145723
71,-7.947833,42.196924
72,-2.405233,39.223255
73,-2.333065,39.185620
74,-8.577564,42.950752
75,-4.269560,42.510223
76,-1.223521,39.915306
77,0.325024,40.847791
78,-1.230445,41.139211
79,-0.950633,40.096682
80,-5.902869,42.513739
81,-5.702244,39.494787
82,-1.867402,38.025560
83,-5.728954,36.298767
84,-3.676095,38.841219
85,-2.896570,41.099243
86,-2.568992,40.495599
87,-2.974726,42.975621
88,-5.181857,42.693871
89,-3.683856,37.698174
90,-4.221938,37.021365
91,-4.667973,40.825489
92,0.067655,41.638387
93,-8.661549,42.249317
94,-0.721341,38.196558
95,-5.872209,41.305247
96,-0.471677,41.217605
97,-5.376294,38.507499
98,-8.004332,43.248899
99,-6.238513,40.034445
100,-8.659756,42.068959
101,0.207410,42.645668
102,-3.300785,41.092977
103,-5.203087,38.515185
104,-8.911755,34.842774
105,-7.309352,42.428742
106,-7.394689,43.014408
107,-3.039771,42.929578
108,-5.399392,38.944111
109,-5.188510,36.543883
110,-2.455279,38.949439
111,-5.310158,39.000351
112,-5.208141,37.029085
113,-3.427107,38.742790
114,-3.997258,41.754783
115,-0.004228,42.483917
116,-0.581211,38.357149
117,-4.261759,39.457363
118,-8.310508,42.455963
119,-1.661033,39.173882
120,-3.031154,40.247331
121,-8.741552,34.975850
122,-3.230343,39.594795
123,-6.658288,39.820142
124,-3.451138,43.195955
125,-3.441250,36.900365
126,-2.300475,40.101208
127,-5.899608,37.942232
128,-1.304437,41.440458
129,-1.253045,38.145875
130,-7.513340,42.698836
131,-6.104403,41.021619
132,-8.275675,42.605227
133,-3.709270,40.213687
134,1.267903,41.946229
135,-1.016039,39.066030
136,-5.075373,42.373790
137,-1.655727,39.337367
138,-6.268084,39.837448
139,-1.150812,38.771829
140,-8.115161,43.082074
141,-3.441779,42.456466
142,-1.685204,42.772226
