Country,City,Latitude,Longitude,Sales,Units
Spain,Madrid,40.4168,-3.7038,125000,1250
Spain,Barcelona,41.3851,2.1734,98000,980
Spain,Valencia,39.4699,-0.3763,67000,670
Spain,Seville,37.3891,-5.9845,54000,540
Spain,Zaragoza,41.6488,-0.8891,43000,430
Spain,Málaga,36.7213,-4.4214,38000,380
Spain,Murcia,37.9922,-1.1307,32000,320
Spain,Palma,39.5696,2.6502,29000,290
Spain,Las Palmas,28.1235,-15.4363,26000,260
Spain,Bilbao,43.2630,-2.9350,48000,480
Spain,Alicante,38.3452,-0.4810,35000,350
Spain,Córdoba,37.8882,-4.7794,28000,280
Spain,Valladolid,41.6523,-4.7245,24000,240
Spain,Vigo,42.2314,-8.7124,31000,310
Spain,Gijón,43.5453,-5.6615,22000,220
Spain,Granada,37.1773,-3.5986,27000,270
Spain,A Coruña,43.3623,-8.4115,25000,250
Spain,Vitoria-Gasteiz,42.8467,-2.6716,29000,290
Spain,Oviedo,43.3614,-5.8593,21000,210
Spain,Santa Cruz,28.4636,-16.2518,19000,190
Spain,Pamplona,42.8125,-1.6458,18000,180
Spain,Almería,36.8340,-2.4637,16000,160
Spain,San Sebastián,43.3183,-1.9812,23000,230
Spain,Badajoz,38.8794,-6.9706,14000,140
Spain,Huelva,37.2614,-6.9447,13000,130
Spain,Salamanca,40.9701,-5.6635,17000,170
Spain,Burgos,42.3439,-3.6966,15000,150
Spain,Lleida,41.6176,0.6200,12000,120
Spain,Tarragona,41.1189,1.2445,20000,200
Spain,Santander,43.4623,-3.8099,19000,190
Spain,Logroño,42.4650,-2.4456,11000,110
Spain,San Cristóbal,27.9202,-15.5469,10000,100
Spain,Cáceres,39.4753,-6.3724,9000,90
Spain,Albacete,38.9942,-1.8564,18000,180
Spain,Jaén,37.7796,-3.7849,12000,120
Spain,Castellón,39.9864,-0.0513,22000,220
Spain,Guadalajara,40.6333,-3.1667,8000,80
Spain,Toledo,39.8581,-4.0226,16000,160
Spain,Ciudad Real,38.9848,-3.9274,11000,110
Spain,Cuenca,40.0704,-2.1374,7000,70
Spain,Teruel,40.3456,-1.1065,6000,60
Spain,Soria,41.7640,-2.4686,5000,50
Spain,Segovia,40.9429,-4.1088,9000,90
Spain,Ávila,40.6566,-4.6818,7000,70
Spain,Mérida,38.9166,-6.3436,10000,100
Spain,Pontevedra,42.4336,-8.6486,14000,140
Spain,Lugo,43.0097,-7.5567,11000,110
Spain,Ourense,42.3364,-7.8642,10000,100
Spain,Huesca,42.1401,-0.4089,8000,80
Spain,Palencia,42.0097,-4.5288,7000,70
Spain,Zamora,41.5036,-5.7447,6000,60
Spain,León,42.5987,-5.5671,15000,150
Spain,Ceuta,35.8894,-5.3213,4000,40
Spain,Melilla,35.2923,-2.9381,3500,35
Portugal,Lisbon,38.7169,-9.1395,89000,890
Portugal,Porto,41.1579,-8.6291,67000,670
Portugal,Braga,41.5503,-8.4200,34000,340
Portugal,Coimbra,40.2033,-8.4103,28000,280
Portugal,Funchal,32.6669,-16.9241,19000,190
Portugal,Setúbal,38.5244,-8.8882,22000,220
Portugal,Faro,37.0193,-7.9304,18000,180
Portugal,Évora,38.5714,-7.9081,12000,120
Portugal,Aveiro,40.6443,-8.6455,24000,240
Portugal,Viseu,40.6566,-7.9122,16000,160
Portugal,Guimarães,41.4425,-8.2979,21000,210
Portugal,Leiria,39.7436,-8.8071,15000,150
Portugal,Ponta Delgada,37.7412,-25.6756,8000,80
Portugal,Viana do Castelo,41.6918,-8.8341,12000,120
Portugal,Bragança,41.8061,-6.7588,7000,70
Portugal,Beja,38.0150,-7.8627,6000,60
Portugal,Portalegre,39.2967,-7.4286,5000,50
Portugal,Castelo Branco,39.8228,-7.4909,8000,80
Portugal,Santarém,39.2367,-8.6867,10000,100
Portugal,Vila Real,41.3008,-7.7468,9000,90
Portugal,Angra do Heroísmo,38.6556,-27.2167,4500,45
Portugal,Horta,38.5319,-28.6358,3000,30
Portugal,Portimão,37.1360,-8.5377,13000,130
Portugal,Almada,38.6783,-9.1583,19000,190
Portugal,Amadora,38.7569,-9.2245,17000,170
Portugal,Loures,38.8311,-9.1692,16000,160
Portugal,Sintra,38.8029,-9.3817,14000,140
Portugal,Cascais,38.6979,-9.4215,18000,180
Portugal,Matosinhos,41.1833,-8.6883,15000,150
Portugal,Vila Nova de Gaia,41.1333,-8.6167,20000,200
